Date : 2024-08-03 13:19:37
Directory : f:\assignments-java-traing\product-java-fullstack-training
Total : 178 files,  51889 codes, 96 comments, 905 blanks, all 52890 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| f:\assignments-java-traing\product-java-fullstack-training\JS\polidrome\polistyle.css                                                                 | CSS                |         38 |          0 |          2 |         40 |
| f:\assignments-java-traing\product-java-fullstack-training\JS\practices\type.js                                                                       | JavaScript         |          4 |          0 |          0 |          4 |
| f:\assignments-java-traing\product-java-fullstack-training\JS\prime\prime.js                                                                          | JavaScript         |          0 |          0 |          1 |          1 |
| f:\assignments-java-traing\product-java-fullstack-training\JS\prime\primelay.html                                                                     | HTML               |         51 |          3 |          2 |         56 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\README.md                                                    | Markdown           |         14 |          0 |         14 |         28 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\angular.json                                                 | JSON               |         99 |          0 |          1 |        100 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\mydatabase.json                                              | JSON               |        176 |          0 |          2 |        178 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\package-lock.json                                            | JSON               |     14,743 |          0 |          1 |     14,744 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\package.json                                                 | JSON               |         39 |          0 |          1 |         40 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\app.component.css                                    | CSS                |         22 |          0 |          3 |         25 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\app.component.html                                   | HTML               |         73 |          0 |          5 |         78 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\app.component.spec.ts                                | TypeScript         |         25 |          0 |          5 |         30 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\app.component.ts                                     | TypeScript         |         28 |          0 |          7 |         35 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\app.config.ts                                        | TypeScript         |          8 |          0 |          3 |         11 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\app.routes.ts                                        | TypeScript         |         13 |          1 |          6 |         20 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\myapi.service.spec.ts                                | TypeScript         |         12 |          0 |          5 |         17 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\myapi.service.ts                                     | TypeScript         |         29 |          1 |          8 |         38 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product-project.service.spec.ts                      | TypeScript         |         12 |          0 |          5 |         17 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product-project.service.ts                           | TypeScript         |        148 |          0 |         16 |        164 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product\add\add.component.css                        | CSS                |          0 |          0 |          1 |          1 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product\add\add.component.html                       | HTML               |         89 |          0 |          3 |         92 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product\add\add.component.spec.ts                    | TypeScript         |         18 |          0 |          6 |         24 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product\add\add.component.ts                         | TypeScript         |         63 |          1 |         10 |         74 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product\cart\cart.component.css                      | CSS                |          8 |          0 |          2 |         10 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product\cart\cart.component.html                     | HTML               |        157 |          0 |         10 |        167 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product\cart\cart.component.spec.ts                  | TypeScript         |         18 |          0 |          6 |         24 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product\cart\cart.component.ts                       | TypeScript         |         37 |          0 |          9 |         46 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product\list\list.component.css                      | CSS                |          5 |          0 |          2 |          7 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product\list\list.component.html                     | HTML               |         93 |          0 |          4 |         97 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product\list\list.component.spec.ts                  | TypeScript         |         18 |          0 |          6 |         24 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product\list\list.component.ts                       | TypeScript         |         34 |          6 |         12 |         52 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product\product.module.ts                            | TypeScript         |         12 |          0 |          6 |         18 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product\update\update.component.css                  | CSS                |          0 |          0 |          1 |          1 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product\update\update.component.html                 | HTML               |        128 |          1 |          4 |        133 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product\update\update.component.spec.ts              | TypeScript         |         18 |          0 |          6 |         24 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product\update\update.component.ts                   | TypeScript         |         25 |          1 |          8 |         34 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product\view\view.component.css                      | CSS                |         17 |          0 |          2 |         19 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product\view\view.component.html                     | HTML               |         96 |          2 |          3 |        101 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product\view\view.component.spec.ts                  | TypeScript         |         18 |          0 |          6 |         24 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product\view\view.component.ts                       | TypeScript         |         51 |          0 |          7 |         58 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product\working.spec.ts                              | TypeScript         |          6 |          0 |          2 |          8 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\index.html                                               | HTML               |         33 |          0 |          1 |         34 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\main.ts                                                  | TypeScript         |          5 |          0 |          2 |          7 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\styles.css                                               | CSS                |          0 |          1 |          1 |          2 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\tsconfig.app.json                                            | JSON               |         13 |          2 |          1 |         16 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\tsconfig.json                                                | JSON with Comments |         30 |          2 |          1 |         33 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\tsconfig.spec.json                                           | JSON               |         13 |          2 |          1 |         16 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\README.md                                                   | Markdown           |         14 |          0 |         14 |         28 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\angular.json                                                | JSON               |         99 |          0 |          1 |        100 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\package-lock.json                                           | JSON               |     14,151 |          0 |          1 |     14,152 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\package.json                                                | JSON               |         39 |          0 |          1 |         40 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\app\app.component.css                                   | CSS                |          0 |          0 |          1 |          1 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\app\app.component.html                                  | HTML               |          2 |          0 |          2 |          4 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\app\app.component.spec.ts                               | TypeScript         |         25 |          0 |          5 |         30 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\app\app.component.ts                                    | TypeScript         |         15 |          0 |          2 |         17 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\app\app.config.ts                                       | TypeScript         |          6 |          0 |          3 |          9 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\app\app.routes.ts                                       | TypeScript         |          3 |          0 |          3 |          6 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\app\login-curd-word\login-curd-word.component.css       | CSS                |         40 |          0 |          5 |         45 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\app\login-curd-word\login-curd-word.component.html      | HTML               |         77 |         16 |          6 |         99 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\app\login-curd-word\login-curd-word.component.spec.ts   | TypeScript         |         18 |          0 |          6 |         24 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\app\login-curd-word\login-curd-word.component.ts        | TypeScript         |         72 |          0 |          7 |         79 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\app\property-binding\property-binding.component.css     | CSS                |        121 |         18 |         12 |        151 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\app\property-binding\property-binding.component.html    | HTML               |        105 |          0 |          3 |        108 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\app\property-binding\property-binding.component.spec.ts | TypeScript         |         18 |          0 |          6 |         24 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\app\property-binding\property-binding.component.ts      | TypeScript         |         38 |          0 |          7 |         45 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\index.html                                              | HTML               |         33 |          0 |          1 |         34 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\main.ts                                                 | TypeScript         |          5 |          0 |          2 |          7 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\styles.css                                              | CSS                |          0 |          1 |          1 |          2 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\tsconfig.app.json                                           | JSON               |         13 |          2 |          1 |         16 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\tsconfig.json                                               | JSON with Comments |         30 |          2 |          1 |         33 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\tsconfig.spec.json                                          | JSON               |         13 |          2 |          1 |         16 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\README.md                                                 | Markdown           |         14 |          0 |         14 |         28 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\angular.json                                              | JSON               |         99 |          0 |          1 |        100 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\db.json                                                   | JSON               |         16 |          0 |          0 |         16 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\package-lock.json                                         | JSON               |     14,258 |          0 |          1 |     14,259 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\package.json                                              | JSON               |         38 |          0 |          1 |         39 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\app\add\add.component.css                             | CSS                |          0 |          0 |          1 |          1 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\app\add\add.component.html                            | HTML               |         49 |          0 |          1 |         50 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\app\add\add.component.spec.ts                         | TypeScript         |         18 |          0 |          6 |         24 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\app\add\add.component.ts                              | TypeScript         |         31 |          0 |          3 |         34 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\app\api.service.spec.ts                               | TypeScript         |         12 |          0 |          5 |         17 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\app\api.service.ts                                    | TypeScript         |         28 |          0 |         10 |         38 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\app\app.component.css                                 | CSS                |          0 |          0 |          1 |          1 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\app\app.component.html                                | HTML               |         52 |          0 |          1 |         53 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\app\app.component.spec.ts                             | TypeScript         |         25 |          0 |          5 |         30 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\app\app.component.ts                                  | TypeScript         |         17 |          0 |          2 |         19 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\app\app.config.ts                                     | TypeScript         |          7 |          0 |          3 |         10 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\app\app.routes.ts                                     | TypeScript         |         10 |          0 |          2 |         12 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\app\list\list.component.css                           | CSS                |          0 |          0 |          1 |          1 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\app\list\list.component.html                          | HTML               |         39 |          0 |          1 |         40 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\app\list\list.component.spec.ts                       | TypeScript         |         18 |          0 |          6 |         24 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\app\list\list.component.ts                            | TypeScript         |         31 |          0 |          6 |         37 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\app\template.spec.ts                                  | TypeScript         |          6 |          0 |          2 |          8 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\app\template.ts                                       | TypeScript         |          6 |          0 |          1 |          7 |
| f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\app\update\update.component.css                       | CSS                |          0 |          0 |          1 |          1 |
